Year,Country,Region,SubRegion,IntermRegion,SurfAreaSqKm,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,DomCredit%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,GrossCapForm%GDP,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MilExp%GDP,MobileSubs/100,MortRateU5,NetMigr,PopTotal,RevenueExGrants%GDP,SchEnrollPrim%,TaxRevenue%GDP,UrbanPopGrowth%
1974,Uzbekistan,Asia,Central Asia,,447400.0,,2.90805929089662,,,50.225,,,,6.02,,,,,,,,62.006,,,,,33604.0,13494711.0,,,,4.15125029436983
1974,Grenada,Americas,Latin America and the Caribbean,Caribbean,340.0,286.847058823529,-0.366401998335513,,,108.616,,,,4.167,,,,,,,,67.583,,,,49.6,-2465.0,97528.0,,139.224914550781,,-0.15136228924135
1974,Australia,Oceania,Australia and New Zealand,,7741220.0,1.78631399450685,2.53122025874137,88963890935.888,4.10697305240988,42.644,,,13.1291209701468,2.397,1327729911.6,5950.0,81630726162.7827,30.5689009641828,13.1937311553626,,16.3781264345529,72.2360975609756,25.8509376760213,2.26280269948392,,18.4,62406.0,13723000.0,20.2991948576919,106.847190856934,18.0577184321262,2.71807764469217
1974,Singapore,Asia,South-eastern Asia,,680.0,3328.05970149254,1.6641425915583,5221534955.64418,6.11740437109883,20.298,2.01069251991209,,149.471608709884,2.35,340190955.715055,2090.0,4649875031.49259,44.4986517449382,164.493352245273,31.2218464080303,16.315573040436,70.2013414634146,271.759168913758,4.29417225052068,,19.6,1127.0,2229800.0,20.1614788721418,,15.0646071356204,1.6641425915583
1974,Sri Lanka,Asia,Southern Asia,,65610.0,213.973465157072,1.86961123857069,3574586466.16541,3.84583083634074,41.976,33.5287234600984,,26.4313659501073,3.848,1399999.9,250.0,3346092536.77506,15.7124226999285,33.8984476883598,25.3417767199529,24.3787426276793,65.999,34.8851541794624,0.795086449875899,,66.1,-33995.0,13418276.0,,86.0237121582031,,2.42684769652828
1974,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,274220.0,21.9961293859649,1.85147135292026,751133431.579496,8.28642648036377,149.372,30.8246234459247,,8.32076317273408,6.842,2669999.9,140.0,829367840.65572,25.5231718077638,24.4729157208656,22.9775219067396,11.0147093853435,41.354,23.9637849192111,1.15190839694656,,293.5,-30690.0,6018141.0,,13.729419708252,,3.83187808461821
1974,Moldova,Europe,Eastern Europe,,33760.0,,1.07153610329772,,,33.508,,,,2.563,,,,,,,,64.211,,,,59.1,2688.0,2563389.0,,,,3.47780739224632
1974,Maldives,Asia,Southern Asia,,300.0,463.146666666667,2.92407390565473,,,183.153,,,,7.269,70000.0,,,,,,,49.359,,,,213.4,-185.0,138944.0,,,,10.3329180760157
1974,Libya,Africa,Northern Africa,,1759540.0,1.23864532775612,4.46587590267275,,,83.248,,,,8.022,6200000.0,,,,,,,59.588,,3.2912696368787,,101.6,34131.0,2179446.0,,106.940101623535,,7.2963219734114
1974,"Bahamas, The",Americas,Latin America and the Caribbean,Caribbean,13880.0,19.7569430569431,2.1486529207952,632400000.0,-16.7542290751462,84.219,,61.5907653383934,,3.526,143440000.0,3590.0,710279951.85407,,,,13.2327069707826,67.001,530.044275774826,,,31.6,173.0,197767.0,,92.5334014892578,,3.08019496227762
